frame_no,vehicle_id,vehicle_bbox,number_plate_bbox,number_plate_bbox_score,license_number,license_number_score
0,24.0,[747.9356689453125 577.0894775390625 887.299072265625 700.4950561523438],[973.7655639648438 1753.3370361328125 1199.7279052734375 1851.6199951171875],0.5657127499580383,OA13NRU,0.3111145284102574
1,24.0,[747.731535840991 577.4009413372058 887.7503730631483 702.1425641527395],[973.757080078125 1753.3359375 1199.621337890625 1851.615234375],0.5656633973121643,OA13NRU,0.18627882884079347
2,26.0,[1325.066162109375 612.8867797851562 1438.7552490234375 724.5582885742188],[2411.8359375 1549.122802734375 2583.56640625 1641.9364013671875],0.586198627948761,HV51VSU,0.2040802728853928
4,22.0,[748.9069117364039 581.946122046935 893.4594175013923 721.9204984088058],[963.6485595703125 1783.3861083984375 1184.638916015625 1873.4183349609375],0.4999430775642395,NA13NRU,0.46606421649012747
4,23.0,[1547.9653381572143 583.6015048752683 1815.278095986052 800.9901490687228],[2410.735107421875 1562.9150390625 2585.170654296875 1653.1937255859375],0.42640024423599243,HU51KSU,0.21261834836401491
5,25.0,[2343.575501202463 848.4595810180765 2564.014933398964 1073.1027629069818],[2411.282470703125 1562.439453125 2586.256591796875 1652.39111328125],0.4976136088371277,HU51VSU,0.41064859760623545
8,28.0,[1316.2551816725368 612.1740833770785 1438.5677747548743 701.9778571392877],[2416.160400390625 1575.296630859375 2587.7529296875 1653.528076171875],0.5656308531761169,MO51YSU,0.08182164199321174
9,31.0,[756.7191167992684 580.3128193814562 970.7325897112986 720.6433878267721],[939.8256225585938 1790.5682373046875 1188.2003173828125 1892.2584228515625],0.38696083426475525,NA13NRU,0.3916777197081307
12,32.0,[66.94862835340501 505.3613879178207 351.78577885984186 710.0131239794658],[943.5031127929688 1802.426513671875 1187.0267333984375 1903.083251953125],0.5232545733451843,NA13NRU,0.5026946152826635
13,33.0,[2345.7177878711536 845.2328846550716 2559.217994408981 1078.6085136404604],[2417.90625 1588.09912109375 2590.99609375 1673.6485595703125],0.6264288425445557,NO51YSU,0.05316768973840633
13,31.0,[757.1622658121594 581.3080885390542 943.772197483732 719.9980341849997],[943.4718017578125 1802.43310546875 1187.15625 1903.107421875],0.5232122540473938,NA13NRU,0.5026946152826635
14,35.0,[2356.7539854326114 903.6535179809425 2566.858450562646 1075.5655525318834],[2415.3896484375 1588.543212890625 2587.59912109375 1672.47802734375],0.6095014810562134,MV51VSU,0.176935742682751
14,31.0,[762.119433598247 580.6759809278861 949.0089151208228 720.1487531911661],[938.2769775390625 1806.96240234375 1184.478759765625 1911.066650390625],0.5639621615409851,NA13NRU,0.5168530807659136
15,31.0,[768.2125999279747 580.4447532877875 959.2330162545277 722.3192894797821],[936.7955932617188 1821.8829345703125 1156.3184814453125 1914.3599853515625],0.5854647755622864,NA13MRU,0.21144072441731765
16,31.0,[771.628506873736 580.7295340127721 965.6132786770655 724.1815769938557],[959.2699584960938 1826.1456298828125 1167.9412841796875 1918.6951904296875],0.5466140508651733,NA13NRU,0.18441240186823166
17,31.0,[772.9588054143496 582.5235090405179 968.0392422463806 726.3431926642975],[957.8289794921875 1835.7568359375 1171.025390625 1923.843017578125],0.5815415382385254,NA13NRU,0.3599270696259898
18,38.0,[879.8608249439154 594.203518873409 972.1383125602741 710.5042813952442],[2421.121826171875 1596.1175537109375 2594.187255859375 1690.1033935546875],0.6309387683868408,ML51NSU,0.24583967352933936
19,38.0,[879.0253967999333 593.8959615668349 972.3274657432278 709.6302696942495],[2421.060302734375 1596.0872802734375 2594.22021484375 1690.1639404296875],0.6304642558097839,ML51NSU,0.24583967352933936
